NAME	TITLE	SCORE	
AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	0.1904549	
MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	0.19035052	
MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	0.19033106	
CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	0.19012493	
OSGIN2	oxidative stress induced growth inhibitor family member 2 [Source:HGNC Symbol;Acc:HGNC:1355]	0.18991673	
SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	0.1898674	
SLC22A3	solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967]	0.18962534	
ZNF217	zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]	0.18920164	
ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	0.18892206	
CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	0.18888965	
CEACAM1	CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]	0.18873836	
KPNA1	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	0.18862164	
MPZL3	myelin protein zero like 3 [Source:HGNC Symbol;Acc:HGNC:27279]	0.18849061	
KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	0.18845068	
NMB	neuromedin B [Source:HGNC Symbol;Acc:HGNC:7842]	0.18843408	
SLC37A2	solute carrier family 37 member 2 [Source:HGNC Symbol;Acc:HGNC:20644]	0.18813568	
PORCN	porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652]	0.18805583	
ZMAT2	zinc finger matrin-type 2 [Source:HGNC Symbol;Acc:HGNC:26433]	0.18794249	
PTPN9	protein tyrosine phosphatase non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]	0.18767057	
