NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KRAS.LUNG.BREAST_UP.V1_UP	KRAS.LUNG.BREAST_UP.V1_UP		119	-0.28950432	-1.1454467	0.23832528	0.5653088	0.998	5492	tags=49%, list=32%, signal=72%	
KRAS.DF.V1_UP	KRAS.DF.V1_UP		191	-0.2578207	-1.1285491	0.2552817	0.59794855	0.998	2811	tags=25%, list=17%, signal=29%	
CRX_DN.V1_DN	CRX_DN.V1_DN		123	-0.25761914	-1.1262583	0.24	0.59221864	0.998	5057	tags=40%, list=30%, signal=56%	
PKCA_DN.V1_DN	PKCA_DN.V1_DN		137	-0.25620702	-1.1251676	0.2303665	0.5844313	0.998	4897	tags=42%, list=29%, signal=58%	
KRAS.LUNG_UP.V1_UP	KRAS.LUNG_UP.V1_UP		114	-0.28757024	-1.1174806	0.29381442	0.5951387	0.998	4778	tags=46%, list=28%, signal=64%	
CAHOY_OLIGODENDROCUTIC	CAHOY_OLIGODENDROCUTIC		94	-0.2578988	-1.1166179	0.2705061	0.5871916	0.998	4474	tags=36%, list=26%, signal=49%	
SIRNA_EIF4GI_DN	SIRNA_EIF4GI_DN		90	-0.30327165	-1.1096563	0.32380953	0.59441775	0.999	2975	tags=30%, list=18%, signal=36%	
JAK2_DN.V1_UP	JAK2_DN.V1_UP		142	-0.26970664	-1.0949128	0.32279533	0.62098634	1.0	3221	tags=30%, list=19%, signal=37%	
RB_P130_DN.V1_DN	RB_P130_DN.V1_DN		133	-0.28154865	-1.0916369	0.33206108	0.61926126	1.0	2754	tags=24%, list=16%, signal=29%	
MTOR_UP.N4.V1_UP	MTOR_UP.N4.V1_UP		192	-0.25873443	-1.0908737	0.30664396	0.6113159	1.0	4310	tags=31%, list=25%, signal=41%	
JNK_DN.V1_DN	JNK_DN.V1_DN		162	-0.2494071	-1.0891633	0.31578946	0.6068417	1.0	4977	tags=39%, list=29%, signal=55%	
TBK1.DF_DN	TBK1.DF_DN		284	-0.3212341	-1.0828661	0.3895349	0.61345583	1.0	3834	tags=34%, list=23%, signal=43%	
TBK1.DN.48HRS_DN	TBK1.DN.48HRS_DN		50	-0.29453787	-1.0808624	0.3483146	0.60909486	1.0	4447	tags=38%, list=26%, signal=51%	
IL2_UP.V1_UP	IL2_UP.V1_UP		171	-0.24732175	-1.0764089	0.32737032	0.61050546	1.0	3720	tags=27%, list=22%, signal=35%	
KRAS.PROSTATE_UP.V1_UP	KRAS.PROSTATE_UP.V1_UP		119	-0.27716577	-1.076061	0.3495652	0.6024204	1.0	5337	tags=45%, list=32%, signal=66%	
PRC1_BMI_UP.V1_UP	PRC1_BMI_UP.V1_UP		163	-0.2572583	-1.0685245	0.34385964	0.61281705	1.0	4183	tags=31%, list=25%, signal=41%	
JNK_DN.V1_UP	JNK_DN.V1_UP		166	-0.25143474	-1.0314983	0.39473686	0.69300044	1.0	4282	tags=34%, list=25%, signal=45%	
ATF2_UP.V1_DN	ATF2_UP.V1_DN		179	-0.2567802	-1.0154871	0.45072994	0.72399163	1.0	4637	tags=35%, list=27%, signal=47%	
ESC_J1_UP_EARLY.V1_DN	ESC_J1_UP_EARLY.V1_DN		165	-0.22127552	-0.9994556	0.43703705	0.75450367	1.0	5146	tags=38%, list=30%, signal=54%	
ATF2_S_UP.V1_UP	ATF2_S_UP.V1_UP		169	-0.21828195	-0.9945074	0.45396826	0.75664884	1.0	3457	tags=24%, list=20%, signal=29%	
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN		155	-0.20923059	-0.98681927	0.48453608	0.767799	1.0	4894	tags=37%, list=29%, signal=52%	
ESC_V6.5_UP_LATE.V1_UP	ESC_V6.5_UP_LATE.V1_UP		174	-0.22809108	-0.9743347	0.49384886	0.79016453	1.0	4881	tags=37%, list=29%, signal=52%	
PTEN_DN.V1_UP	PTEN_DN.V1_UP		157	-0.24285997	-0.9687002	0.48409894	0.7935438	1.0	4943	tags=37%, list=29%, signal=52%	
BMI1_DN.V1_DN	BMI1_DN.V1_DN		130	-0.23506063	-0.9630664	0.5117117	0.7988377	1.0	3980	tags=26%, list=24%, signal=34%	
PRC2_EED_DN.V1_UP	PRC2_EED_DN.V1_UP		170	-0.22559947	-0.9429749	0.5597148	0.8416188	1.0	3077	tags=24%, list=18%, signal=28%	
NRL_DN.V1_UP	NRL_DN.V1_UP		128	-0.21136475	-0.9416211	0.5721925	0.83460504	1.0	2761	tags=23%, list=16%, signal=28%	
HOXA9_DN.V1_DN	HOXA9_DN.V1_DN		186	-0.22229743	-0.9280164	0.5323129	0.8590898	1.0	3578	tags=28%, list=21%, signal=36%	
ESC_J1_UP_LATE.V1_DN	ESC_J1_UP_LATE.V1_DN		161	-0.20378326	-0.9120623	0.6172414	0.893286	1.0	2051	tags=16%, list=12%, signal=18%	
MEL18_DN.V1_DN	MEL18_DN.V1_DN		143	-0.2216159	-0.9078083	0.58633095	0.8933299	1.0	4135	tags=28%, list=24%, signal=37%	
IL21_UP.V1_DN	IL21_UP.V1_DN		147	-0.21891358	-0.89253366	0.64493996	0.9250649	1.0	5463	tags=39%, list=32%, signal=58%	
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN		149	-0.2107279	-0.88943475	0.66790354	0.92190325	1.0	5214	tags=38%, list=31%, signal=54%	
ATM_DN.V1_UP	ATM_DN.V1_UP		118	-0.21804526	-0.8840144	0.6637931	0.92451113	1.0	5042	tags=40%, list=30%, signal=56%	
ATM_DN.V1_DN	ATM_DN.V1_DN		113	-0.21726796	-0.87838584	0.6475694	0.92834103	1.0	4710	tags=34%, list=28%, signal=46%	
SNF5_DN.V1_UP	SNF5_DN.V1_UP		164	-0.23495427	-0.8729574	0.58845437	0.93224216	1.0	5589	tags=43%, list=33%, signal=64%	
TBK1.DN.48HRS_UP	TBK1.DN.48HRS_UP		50	-0.22841513	-0.8708084	0.6696751	0.92692584	1.0	4951	tags=42%, list=29%, signal=59%	
MYC_UP.V1_DN	MYC_UP.V1_DN		156	-0.21008876	-0.86978686	0.65613383	0.9186522	1.0	3956	tags=28%, list=23%, signal=36%	
LTE2_UP.V1_DN	LTE2_UP.V1_DN		193	-0.2229198	-0.86691433	0.6319703	0.9159779	1.0	3270	tags=22%, list=19%, signal=27%	
IL2_UP.V1_DN	IL2_UP.V1_DN		173	-0.20432296	-0.8577644	0.69107145	0.9289538	1.0	4618	tags=36%, list=27%, signal=50%	
STK33_SKM_DN	STK33_SKM_DN		253	-0.18864548	-0.85363144	0.7588533	0.9286057	1.0	3791	tags=26%, list=22%, signal=34%	
