NAME	TITLE	SCORE	
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6 [Source:HGNC Symbol;Acc:HGNC:23466]	0.2168709	
ZNF519	zinc finger protein 519 [Source:HGNC Symbol;Acc:HGNC:30574]	0.2163581	
DNHD1	dynein heavy chain domain 1 [Source:HGNC Symbol;Acc:HGNC:26532]	0.21589607	
EGOT	eosinophil granule ontogeny transcript [Source:HGNC Symbol;Acc:HGNC:37129]	0.21581627	
SLFN13	schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]	0.21563332	
RPL32P3	ribosomal protein L32 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:27024]	0.2153925	
OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	0.21528128	
CALHM3	calcium homeostasis modulator 3 [Source:HGNC Symbol;Acc:HGNC:23458]	0.21527505	
ZSWIM4	zinc finger SWIM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:25704]	0.2151234	
CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	0.2150172	
TAS2R14	taste 2 receptor member 14 [Source:HGNC Symbol;Acc:HGNC:14920]	0.21495965	
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	0.21484643	
PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	0.21462916	
NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	0.21412155	
PCGF2	polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]	0.21408387	
ZNF337	zinc finger protein 337 [Source:HGNC Symbol;Acc:HGNC:15809]	0.21353509	
TMEM43	transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472]	0.21340187	
TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	0.2131893	
WFDC3	WAP four-disulfide core domain 3 [Source:HGNC Symbol;Acc:HGNC:15957]	0.21296069	
RBM33	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]	0.21215476	
SEC61A2	SEC61 translocon subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:17702]	0.21202767	
TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	0.21153934	
WWC2-AS2	WWC2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:26390]	0.2104716	
HOXB3	homeobox B3 [Source:HGNC Symbol;Acc:HGNC:5114]	0.21030273	
CD27-AS1	CD27 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43896]	0.21018499	
ANKS6	ankyrin repeat and sterile alpha motif domain containing 6 [Source:HGNC Symbol;Acc:HGNC:26724]	0.20980628	
DCAF15	DDB1 and CUL4 associated factor 15 [Source:HGNC Symbol;Acc:HGNC:25095]	0.20937406	
OXSR1	oxidative stress responsive kinase 1 [Source:HGNC Symbol;Acc:HGNC:8508]	0.20891987	
ZNF273	zinc finger protein 273 [Source:HGNC Symbol;Acc:HGNC:13067]	0.2087961	
BASP1-AS1	BASP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26609]	0.20866036	
AP3M2	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]	0.20848553	
PLCH2	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	0.208341	
IP6K3	inositol hexakisphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17269]	0.20820148	
TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog [Source:HGNC Symbol;Acc:HGNC:25187]	0.20817095	
PAN3	poly(A) specific ribonuclease subunit PAN3 [Source:HGNC Symbol;Acc:HGNC:29991]	0.20802419	
THUMPD3-AS1	THUMPD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44478]	0.20750424	
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]	0.20724273	
PRH1	proline rich protein HaeIII subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9366]	0.20705615	
MRPL10	mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]	0.20668843	
ANO8	anoctamin 8 [Source:HGNC Symbol;Acc:HGNC:29329]	0.20666751	
ETV6	ETS variant transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3495]	0.20631127	
COPS7B	COP9 signalosome subunit 7B [Source:HGNC Symbol;Acc:HGNC:16760]	0.20614372	
SYNGAP1	synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]	0.20605817	
GPR39	G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	0.20553525	
LINC00910	long intergenic non-protein coding RNA 910 [Source:HGNC Symbol;Acc:HGNC:44361]	0.2053869	
MPP3	MAGUK p55 scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:7221]	0.20536941	
ANKLE2	ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]	0.2052944	
TNFRSF14-AS1	TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966]	0.20505214	
MEX3D	mex-3 RNA binding family member D [Source:HGNC Symbol;Acc:HGNC:16734]	0.20498405	
MIR924HG	MIR924 host gene [Source:HGNC Symbol;Acc:HGNC:44332]	0.20493701	
UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	0.20485963	
NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	0.20465858	
SLC25A36	solute carrier family 25 member 36 [Source:HGNC Symbol;Acc:HGNC:25554]	0.20420042	
OTUD1	OTU deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:27346]	0.20418058	
ZNF224	zinc finger protein 224 [Source:HGNC Symbol;Acc:HGNC:13017]	0.20385936	
POLR2J2	RNA polymerase II subunit J2 [Source:HGNC Symbol;Acc:HGNC:23208]	0.20372804	
SLC15A4	solute carrier family 15 member 4 [Source:HGNC Symbol;Acc:HGNC:23090]	0.2034578	
TRAF5	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	0.20337231	
CACNA1E	calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392]	0.20332502	
DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	0.20317028	
HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	0.20293708	
LINC01118	long intergenic non-protein coding RNA 1118 [Source:HGNC Symbol;Acc:HGNC:49261]	0.20243667	
MEGF6	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	0.20233199	
