NAME	TITLE	SCORE	
SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	0.21871151	
ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	0.21863851	
EXOC6	exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196]	0.21722914	
DRAIC	downregulated RNA in cancer, inhibitor of cell invasion and migration [Source:HGNC Symbol;Acc:HGNC:27082]	0.21666569	
MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	0.2165985	
SDSL	serine dehydratase like [Source:HGNC Symbol;Acc:HGNC:30404]	0.21640642	
SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	0.21624546	
TTI2	TELO2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:26262]	0.21614908	
SHISA9	shisa family member 9 [Source:HGNC Symbol;Acc:HGNC:37231]	0.21604553	
ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	0.21578112	
C17orf75	chromosome 17 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:30173]	0.2156228	
PRAME	PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]	0.21557802	
ATP5F1B	ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]	0.2152396	
SCAMP5	secretory carrier membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:30386]	0.21516538	
ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]	0.2150414	
OGDHL	oxoglutarate dehydrogenase L [Source:HGNC Symbol;Acc:HGNC:25590]	0.21474113	
FAM83F	family with sequence similarity 83 member F [Source:HGNC Symbol;Acc:HGNC:25148]	0.21462095	
NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	0.214431	
STK33	serine/threonine kinase 33 [Source:HGNC Symbol;Acc:HGNC:14568]	0.21394774	
C9orf43	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	0.21349777	
MT1M	metallothionein 1M [Source:HGNC Symbol;Acc:HGNC:14296]	0.2133043	
TCHP	trichoplein keratin filament binding [Source:HGNC Symbol;Acc:HGNC:28135]	0.2132975	
ZSCAN5A	zinc finger and SCAN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:23710]	0.21329127	
FAM131B	family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]	0.21325125	
GPR37	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	0.21233508	
MCOLN3	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]	0.21221934	
NEU4	neuraminidase 4 [Source:HGNC Symbol;Acc:HGNC:21328]	0.2119614	
ATG4A	autophagy related 4A cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]	0.21187255	
KIAA1958	KIAA1958 [Source:HGNC Symbol;Acc:HGNC:23427]	0.21163677	
GSTZ1	glutathione S-transferase zeta 1 [Source:HGNC Symbol;Acc:HGNC:4643]	0.21151446	
TMEM61	transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]	0.21148051	
SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	0.21133992	
ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:29618]	0.21110438	
KLK14	kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]	0.21079686	
EML5	EMAP like 5 [Source:HGNC Symbol;Acc:HGNC:18197]	0.21057479	
