NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
EIF4E_DN	EIF4E_DN		99	0.20524696	0.70288855	0.79535866	1.0	1.0	4545	tags=31%, list=27%, signal=43%	
TBK1.DN.48HRS_DN	TBK1.DN.48HRS_DN		50	0.18524997	0.6976175	0.9110629	0.9979415	1.0	4685	tags=34%, list=28%, signal=47%	
STK33_NOMO_UP	STK33_NOMO_UP		284	0.18173644	0.66188025	0.8671024	1.0	1.0	3497	tags=23%, list=21%, signal=28%	
STK33_UP	STK33_UP		277	0.1760154	0.6552899	0.88817203	1.0	1.0	3723	tags=25%, list=22%, signal=31%	
RB_DN.V1_UP	RB_DN.V1_UP		114	0.16250393	0.65521944	0.9649123	1.0	1.0	5269	tags=31%, list=31%, signal=44%	
RPS14_DN.V1_UP	RPS14_DN.V1_UP		183	0.18629862	0.65215397	0.82241017	1.0	1.0	5721	tags=36%, list=34%, signal=53%	
TBK1.DF_DN	TBK1.DF_DN		284	0.19066037	0.6355935	0.8455115	1.0	1.0	5113	tags=36%, list=30%, signal=51%	
P53_DN.V2_UP	P53_DN.V2_UP		119	0.14979199	0.6310673	0.97953963	0.9950503	1.0	1621	tags=11%, list=10%, signal=12%	
RB_P107_DN.V1_DN	RB_P107_DN.V1_DN		125	0.14777415	0.6162796	0.9749478	0.9936482	1.0	4429	tags=25%, list=26%, signal=33%	
VEGF_A_UP.V1_DN	VEGF_A_UP.V1_DN		192	0.16764224	0.60592705	0.9154639	0.98943913	1.0	4717	tags=27%, list=28%, signal=37%	
CAMP_UP.V1_UP	CAMP_UP.V1_UP		199	0.14128737	0.5938677	0.9832636	0.9858171	1.0	6304	tags=34%, list=37%, signal=53%	
HINATA_NFKB_IMMU_INF	HINATA_NFKB_IMMU_INF		15	0.20489474	0.5162922	0.96196866	0.99412805	1.0	7273	tags=60%, list=43%, signal=105%	
