NAME	TITLE	SCORE	
SERF1A	small EDRK-rich factor 1A [Source:HGNC Symbol;Acc:HGNC:10755]	0.27777869	
ZNF833P	zinc finger protein 833, pseudogene [Source:HGNC Symbol;Acc:HGNC:33819]	0.2776391	
ABCC6	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]	0.27728197	
RUNDC3B	RUN domain containing 3B [Source:HGNC Symbol;Acc:HGNC:30286]	0.27716663	
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	0.27626425	
HDHD2	haloacid dehalogenase like hydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25364]	0.2761257	
ZNF232	zinc finger protein 232 [Source:HGNC Symbol;Acc:HGNC:13026]	0.27610207	
FHL5	four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371]	0.2757086	
SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	0.275227	
SEZ6	seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]	0.27490202	
LRRC4	leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]	0.27474535	
LRRC49	leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]	0.27453843	
HPCA	hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]	0.27440876	
SCML2	Scm polycomb group protein like 2 [Source:HGNC Symbol;Acc:HGNC:10581]	0.27436638	
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	0.27400744	
FAM184A	family with sequence similarity 184 member A [Source:HGNC Symbol;Acc:HGNC:20991]	0.27323374	
INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	0.27271602	
IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:5384]	0.27259383	
MBOAT4	membrane bound O-acyltransferase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:32311]	0.27256417	
ASPA	aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]	0.27175814	
TACR1	tachykinin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11526]	0.27112433	
CARMIL3	capping protein regulator and myosin 1 linker 3 [Source:HGNC Symbol;Acc:HGNC:20272]	0.2709601	
DDX25	DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]	0.27090415	
GFRA3	GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]	0.27079815	
CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	0.27069536	
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]	0.27056456	
ELAVL4	ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]	0.27038947	
RALYL	RALY RNA binding protein like [Source:HGNC Symbol;Acc:HGNC:27036]	0.2703882	
INTS10	integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]	0.27030206	
NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	0.2702988	
TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]	0.27022246	
PREPL	prolyl endopeptidase like [Source:HGNC Symbol;Acc:HGNC:30228]	0.27020827	
POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	0.2699016	
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]	0.26987797	
SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	0.26987147	
A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	0.26953435	
MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	0.26943833	
PCDH17	protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]	0.26927468	
SYT4	synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512]	0.26915282	
ABCA9	ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]	0.26865014	
ATG4A	autophagy related 4A cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]	0.2682863	
DIS3L	DIS3 like exosome 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:28698]	0.2680244	
MYO3A	myosin IIIA [Source:HGNC Symbol;Acc:HGNC:7601]	0.26773784	
MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	0.26741496	
ENHO	energy homeostasis associated [Source:HGNC Symbol;Acc:HGNC:24838]	0.2673543	
MGAT4C	MGAT4 family member C [Source:HGNC Symbol;Acc:HGNC:30871]	0.2671516	
LGALSL	galectin like [Source:HGNC Symbol;Acc:HGNC:25012]	0.26704437	
TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	0.26694816	
MARK1	microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]	0.26678512	
SCAMP5	secretory carrier membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:30386]	0.26663467	
TSACC	TSSK6 activating cochaperone [Source:HGNC Symbol;Acc:HGNC:30636]	0.26646343	
SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	0.2662362	
RIC8B	RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:HGNC:25555]	0.26606536	
SCN7A	sodium voltage-gated channel alpha subunit 7 [Source:HGNC Symbol;Acc:HGNC:10594]	0.26601392	
ZDHHC22	zinc finger DHHC-type palmitoyltransferase 22 [Source:HGNC Symbol;Acc:HGNC:20106]	0.26478955	
LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	0.2647076	
RAMP2-AS1	RAMP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44358]	0.26425865	
CABP7	calcium binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20834]	0.26414	
APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	0.26405096	
GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	0.26400575	
RCAN2	regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]	0.26375565	
MOCS1	molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190]	0.26362604	
GSTA4	glutathione S-transferase alpha 4 [Source:HGNC Symbol;Acc:HGNC:4629]	0.263352	
NFIA	nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]	0.2631856	
MOCS2	molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]	0.26303506	
FMO2	flavin containing dimethylaniline monoxygenase 2 [Source:HGNC Symbol;Acc:HGNC:3770]	0.26299506	
DOC2B	double C2 domain beta [Source:HGNC Symbol;Acc:HGNC:2986]	0.2625929	
ZDHHC15	zinc finger DHHC-type palmitoyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:20342]	0.2625697	
MYCT1	MYC target 1 [Source:HGNC Symbol;Acc:HGNC:23172]	0.26247582	
EMCN	endomucin [Source:HGNC Symbol;Acc:HGNC:16041]	0.26236436	
CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	0.26202658	
TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	0.26164967	
KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	0.2616306	
TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	0.26144698	
TSPAN7	tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854]	0.26143533	
BEX1	brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]	0.26066387	
LINC03062	long intergenic non-protein coding RNA 3062 [Source:HGNC Symbol;Acc:HGNC:56369]	0.2604805	
FGF7P3	fibroblast growth factor 7 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:26671]	0.26028305	
FAM131B	family with sequence similarity 131 member B [Source:HGNC Symbol;Acc:HGNC:22202]	0.2602405	
TUBB1	tubulin beta 1 class VI [Source:HGNC Symbol;Acc:HGNC:16257]	0.2598887	
HIBCH	3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]	0.25969702	
PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]	0.25953203	
PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like [Source:HGNC Symbol;Acc:HGNC:29378]	0.2590143	
ATCAY	ATCAY kinesin light chain interacting caytaxin [Source:HGNC Symbol;Acc:HGNC:779]	0.25886828	
ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	0.25885242	
MRTFB	myocardin related transcription factor B [Source:HGNC Symbol;Acc:HGNC:29819]	0.2587351	
EMILIN3	elastin microfibril interfacer 3 [Source:HGNC Symbol;Acc:HGNC:16123]	0.25850075	
COQ10A	coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515]	0.25784078	
SYP	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	0.25781745	
PTPRT	protein tyrosine phosphatase receptor type T [Source:HGNC Symbol;Acc:HGNC:9682]	0.257687	
SRCIN1	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]	0.2574584	
FLRT1	fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3760]	0.25744525	
DNAH9	dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]	0.25715646	
RGL1	ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:HGNC:30281]	0.25709748	
CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	0.25703037	
DAPL1	death associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:21490]	0.25694352	
NCMAP	non-compact myelin associated protein [Source:HGNC Symbol;Acc:HGNC:29332]	0.2569234	
MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	0.25672203	
TLL1	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]	0.25671697	
ITGA8	integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144]	0.2566622	
DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	0.25648797	
NAP1L6P	nucleosome assembly protein 1 like 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31706]	0.2562881	
ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	0.25532138	
PTPRB	protein tyrosine phosphatase receptor type B [Source:HGNC Symbol;Acc:HGNC:9665]	0.25497904	
CHRNB2	cholinergic receptor nicotinic beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1962]	0.25496507	
PREB	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	0.25461087	
PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	0.25438836	
GLS2	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	0.254352	
KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286]	0.25417024	
PPIP5K1	diphosphoinositol pentakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:29023]	0.25410855	
ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	0.25408474	
CYB5D1	cytochrome b5 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26516]	0.25405577	
WDR17	WD repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:16661]	0.25405487	
FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	0.25402325	
FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	0.25399572	
RUNDC3A	RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984]	0.25375506	
ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	0.2533883	
TAGLN3	transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]	0.25328997	
MED31	mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260]	0.25323018	
OAF	out at first homolog [Source:HGNC Symbol;Acc:HGNC:28752]	0.2532297	
GFRA2	GDNF family receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4244]	0.2531376	
CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	0.2529385	
CYB5D2	cytochrome b5 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28471]	0.25264534	
AHCYL1	adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]	0.25252098	
SYNGR1	synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]	0.25231352	
YBEY	ybeY metalloendoribonuclease [Source:HGNC Symbol;Acc:HGNC:1299]	0.25212464	
SRR	serine racemase [Source:HGNC Symbol;Acc:HGNC:14398]	0.252032	
BSN	bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:1117]	0.25190932	
ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	0.25163653	
CTXN2	cortexin 2 [Source:HGNC Symbol;Acc:HGNC:31109]	0.25159165	
NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]	0.2515436	
ATRNL1	attractin like 1 [Source:HGNC Symbol;Acc:HGNC:29063]	0.25147858	
NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	0.25144282	
EIF5B	eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]	0.2509136	
NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	0.25086588	
RNF180	ring finger protein 180 [Source:HGNC Symbol;Acc:HGNC:27752]	0.25079635	
RWDD2A	RWD domain containing 2A [Source:HGNC Symbol;Acc:HGNC:21385]	0.2506846	
VIP	vasoactive intestinal peptide [Source:HGNC Symbol;Acc:HGNC:12693]	0.25059408	
GNG4	G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]	0.2505332	
PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	0.25053135	
NUDT7	nudix hydrolase 7 [Source:HGNC Symbol;Acc:HGNC:8054]	0.25040364	
TCHP	trichoplein keratin filament binding [Source:HGNC Symbol;Acc:HGNC:28135]	0.2503281	
WSCD2	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]	0.2502063	
NFATC3	nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]	0.25007194	
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	0.25004292	
MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	0.24991156	
LYSMD2	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	0.24977195	
DSCAM	DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039]	0.24973802	
ABCB5	ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]	0.24964164	
QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	0.24938387	
ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	0.24937378	
AKAIN1	A-kinase anchor inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28285]	0.24933918	
SCN3A	sodium voltage-gated channel alpha subunit 3 [Source:HGNC Symbol;Acc:HGNC:10590]	0.24933626	
ASRGL1	asparaginase and isoaspartyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:16448]	0.2493219	
GPLD1	glycosylphosphatidylinositol specific phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:4459]	0.24929594	
PITPNA	phosphatidylinositol transfer protein alpha [Source:HGNC Symbol;Acc:HGNC:9001]	0.24929346	
RPH3AL	rabphilin 3A like (without C2 domains) [Source:HGNC Symbol;Acc:HGNC:10296]	0.24927853	
UNC79	unc-79 homolog, NALCN channel complex subunit [Source:HGNC Symbol;Acc:HGNC:19966]	0.24908027	
NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	0.24890159	
NCALD	neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]	0.24882808	
CYP1B1-AS1	CYP1B1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28543]	0.24862838	
CELF3	CUGBP Elav-like family member 3 [Source:HGNC Symbol;Acc:HGNC:11967]	0.24859384	
VEGFD	vascular endothelial growth factor D [Source:HGNC Symbol;Acc:HGNC:3708]	0.24854437	
LHX6	LIM homeobox 6 [Source:HGNC Symbol;Acc:HGNC:21735]	0.24847019	
GNG3	G protein subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:4405]	0.24839403	
MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]	0.248266	
KCNC1	potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233]	0.24819167	
MAGEE2	MAGE family member E2 [Source:HGNC Symbol;Acc:HGNC:24935]	0.24810791	
GRIK5	glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]	0.24798279	
SSX2IP	SSX family member 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:16509]	0.24792843	
CEP126	centrosomal protein 126 [Source:HGNC Symbol;Acc:HGNC:29264]	0.24775027	
PDCD7	programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]	0.24742219	
KSR2	kinase suppressor of ras 2 [Source:HGNC Symbol;Acc:HGNC:18610]	0.24731828	
RFX6	regulatory factor X6 [Source:HGNC Symbol;Acc:HGNC:21478]	0.24711432	
CDADC1	cytidine and dCMP deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20299]	0.24696887	
